"Row ID","Order ID","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit,"Order Priority","Shipping Cost","Customer Tenure","Marketing Channel","Product Rating","Return Status","Payment Method","Order Date","Ship Date"
6,US-2016-162852,"Standard Class",BG-11695,"Brooke Gillingham",corporate,"United States",Woodstock,Illinois,60098,Central,FUR-CH-10004853,Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",845.49,8,0.3,-12.08,High,48.37,Returning,Direct,3,No,"Net Banking",2016-12-27,2016-12-31
18,CA-2016-117590,"First Class",GH-14485,"Gene Hale",corporate,"United States",Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,"GE 30524EE4",1097.54,7,0.2,123.47,High,164.29,New,Direct,3,No,"Cash on Delivery",2016-08-12,2016-10-12
24,CA-2016-111416,"Standard Class",LW-17215,"Luke Weiss",consumer,"United States","New York City","New York",10035,East,OFF-BI-10002026,"Office Supplies",Binders,"Avery Arch Ring Binders",232.4,5,0.2,78.44,Medium,18.47,Returning,Direct,4,No,"Cash on Delivery",2016-09-17,2016-09-22
26,CA-2016-113733,"Standard Class",LH-16900,"Lena Hernandez",consumer,"United States",Greenville,"North Carolina",27834,South,TEC-PH-10002496,Technology,Phones,"Cisco SPA301",249.58,2,0.2,31.2,Critical,15.81,Returning,Ads,1,No,"Credit Card",2016-08-12,2016-12-12
69,CA-2017-109183,"Standard Class",LR-16915,"Lena Radford",consumer,"United States",Nashville,Tennessee,37211,South,TEC-MA-10001856,Technology,Machines,"Okidata C610n Printer",649,2,0.5,-272.58,Medium,73.26,Returning,Ads,3,No,UPI,2017-04-12,2017-09-12
93,CA-2016-163167,"Second Class",RF-19345,"Randy Ferguson",corporate,"United States",Marietta,Georgia,30062,South,OFF-ST-10003805,"Office Supplies",Storage,"24 Capacity Maxi Data Binder Racks, Pearl",1263.3,6,0,315.83,Critical,0.68,Returning,Email,1,Yes,"Credit Card",2016-11-28,2016-01-12
163,CA-2016-124590,"Standard Class",SP-20920,"Susan Pistek",consumer,"United States",Parma,Ohio,44134,East,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1537.07,9,0.3,0,Low,149.42,New,Email,5,Yes,"Credit Card",2016-12-11,2016-11-16
198,CA-2017-100951,"First Class",NC-18625,"Noah Childs",corporate,"United States",Dallas,Texas,75217,Central,OFF-ST-10001496,"Office Supplies",Storage,"Standard Rollaway File with Lock",720.76,5,0.2,54.06,Medium,68.68,Returning,Email,2,No,UPI,2017-09-06,2017-10-06
213,CA-2016-130820,"Same Day",ON-18715,"Odella Nelson",corporate,"United States",Burlington,"North Carolina",27217,South,FUR-TA-10001768,Furniture,Tables,"Hon Racetrack Conference Tables",630.02,4,0.4,-199.51,Low,59.95,Returning,Referral,5,Yes,UPI,2016-11-15,2016-11-15
282,CA-2017-115105,"Standard Class",BD-11770,"Bryan Davis",consumer,"United States","New York City","New York",10024,East,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",240.78,1,0.2,30.1,Medium,26.86,New,Ads,3,No,"Net Banking",2017-06-02,2017-11-02
289,CA-2017-120404,"Second Class",KH-16330,"Katharine Harms",corporate,"United States","New York City","New York",10035,East,TEC-PH-10001363,Technology,Phones,"Apple iPhone 5S",569.99,1,0,171,Low,61.03,Returning,Email,4,Yes,"Net Banking",2017-11-20,2017-11-24
295,CA-2015-166464,"Standard Class",PG-18895,"Paul Gonzalez",consumer,"United States","New York City","New York",10035,East,TEC-CO-10000971,Technology,Copiers,"Hewlett Packard 310 Color Digital Copier",479.98,2,0.2,60,Critical,43.34,Returning,Email,5,No,"Cash on Delivery",2015-12-09,2015-09-17
315,CA-2015-109001,"Standard Class",KN-16390,"Katherine Nockton",corporate,"United States",Philadelphia,Pennsylvania,19120,East,TEC-PH-10000562,Technology,Phones,"Samsung Convoy 3",466.16,7,0.4,-93.23,Critical,25.78,New,Direct,4,No,"Net Banking",2015-05-03,2015-09-03
335,CA-2017-126144,"Standard Class",GM-14680,"Greg Matthias",consumer,"United States",Philadelphia,Pennsylvania,19134,East,TEC-PH-10001079,Technology,Phones,"Polycom SoundPoint Pro SE-225 Corded phone",285.58,4,0.4,-57.12,Critical,37.46,New,Ads,5,No,UPI,2017-07-31,2017-05-08
